Full Name,Field,Sex,Birth Year,Place of Birth,Edition of First Appearance,QID,date of birth,VIAF,BND,Date of Death 1,Last Name,First Name,Middle Name,ImagePulledInFromWikidata,OccupationsSeparatedByCommas,TopRankOccupation
Richard Garnett,Literature,Male,1835,"Lichfield, Staffordshire, England, United Kindgom",10,Q718512,1835-02-27,56625067,33334,1906-04-13,Garnett,Richard,,https://commons.wikimedia.org/wiki/File:Richard_Garnett_Vanity_Fair_11_April_1895.jpg,"librarian, writer, poet, translator, editor",librarian
David Garrick,Arts,Male,1717,"Hereford, Herefordshire, England",1,Q222390,1717-02-19,24563,10408,1779-01-20,Garrick,David,,https://commons.wikimedia.org/wiki/File:Kauffman-Garrick.jpg,"playwright, theatrical producer, writer, screenwriter, stage actor, actor",playwright
William Lloyd Garrison,Literature,Male,1805,"Newburyport, Massachusetts",9,Q360155,1805-12-10,1.00E+08,,1879-05-24,Garrison,William,L,"https://commons.wikimedia.org/wiki/File:William_Lloyd_Garrison,_abolitionist,_journalist,_and_editor_of_The_Liberator_LCCN2017660623_(cropped).jpg","editor, social reformer, writer, journalist, abolitionist",editor
Samuel Garth,Literature,Male,1661,"Bolam, County Durham, United Kingdom",2,Q3946620,1661,29564062,10414,1719-01-18,Garth,Samuel,,https://commons.wikimedia.org/wiki/File:Samuel_Garth_by_Godfrey_Kneller_2.jpg,"physician, poet, writer",physician
John Gay,Literature,Male,1685,"Barnstaple, Devon, England",1,Q321660,1685-06-30,2480890,10473,1732-12-04,Gay,John,,"https://commons.wikimedia.org/wiki/File:Unknown_man,_formerly_known_as_John_Gay.jpg","poet, playwright, writer, librettist",poet
Edward Gibbon,History and Philosophy,Male,1737,"Putney, London, England, United Kingdom",5,Q161841,1737-05-08,24601933,10589,1794-01-16,Gibbon,Edward,,https://commons.wikimedia.org/wiki/File:Edward_Emily_Gibbon.jpg,"historian, politician, classical scholar, writer",historian
Thomas Gibbons,Literature,Male,1720,"Reach, Cambridgeshire, England, United Kingdom",7,Q7790008,1720,18605116,10600,1785,Gibbons,Thomas,,,hymnwriter,hymnwriter
Richard Gifford,Literature,Male,1725,"Shropshire, United Kingdom",3,Q2149579,1725,9695502,10666,1807,Gifford,Richard,,,writer,writer
W. S. Gilbert,Literature,Male,1836,"London, England, United Kingdom",10,Q348513,1836-11-18,22191447,33400,1911-05-29,Gilbert,William,S,https://commons.wikimedia.org/wiki/File:Elliott_&_Fry_-_photograph_W._S._Gilbert.jpg,"writer, poet, playwright, librettist, illustrator, screenwriter, theatrical director, barrister",writer
Richard Watson Gilder,Literature,Male,1844,"Bordentown, New Jersey, Unted States",10,Q7329844,1844-02-08,25913933,,1909-11-19,Gilder,Richard,W,"https://commons.wikimedia.org/wiki/File:The_poems_of_Richard_Watson_Gilder,_1908,_image_from_DJVU_pg_8a.jpg","editor, poet, writer",editor
Robert Gilfillan,Literature,Male,1798,"Dunfermline, Scotland, United Kingdom",10,Q7344770,1798-07-07,66105110,10727,1850-12-04,Gilfillan,Robert,,"https://commons.wikimedia.org/wiki/File:Robert_Gilfillan_as_shown_on_his_grave,_South_Leith_Parish_Church.jpg","poet, songwriter, writer",poet
Charlotte Perkins Gilman,Literature,Female,1860,"Hartford, Connecticut, United States",10,Q287752,1860-07-03,59083135,,1935-08-17,Gilman,Charlotte,P,https://commons.wikimedia.org/wiki/File:Charlotte_Perkins_Gilman_c._1900.jpg,"poet, novelist, philosopher, sociologist, writer, artist, economist, women's rights activist, editor, suffragist",poet
William Ewart Gladstone,"Military, Politics, and Law",Male,1809,"Liverpool, Merseyside, England, United Kingdom",10,Q160852,1809-12-29,71411983,10787,1898-05-19,Gladstone,William,E,"https://commons.wikimedia.org/wiki/File:William_Ewart_Gladstone,_1892_(cropped).jpg","politician, diplomat, statistician, writer",politician
Johann Wolfgang von Goethe,Arts,Male,1749,"Frankfurt, Germany",9,Q5879,1749-08-28,24602065,,1832-03-22,Goethe,Wolfgang von,,https://commons.wikimedia.org/wiki/File:Goethe_(Stieler_1828).jpg,"theatre manager, botanist, politician, painter, philosopher, theologian, jurist, art critic, music critic, librarian, poet, travel writer, physicist, literary, novelist, playwright, autobiographer, diplomat, statesperson, polymath, aphorist, diarist, mineralogist, zoologist, art theorist, lawyer, composer, librettist, writer, visual artist, art historian",theatre manager
Oliver Goldsmith,Literature,Male,1728,"Elphin, County Roscommon, Ireland",1,Q236236,1728-11-10,1.00E+08,10924,1774-04-04,Goldsmith,Oliver,,https://commons.wikimedia.org/wiki/File:Oliver_Goldsmith_by_Sir_Joshua_Reynolds.jpg,"physician, physician writer, poet, playwright, literary critic, novelist, writer, essayist, polygraph, dramaturge, theatrical producer",physician
Barnabe Googe,Literature,Male,1540,"Alvingham, United Kingdom",7,Q734076,1540-06-11,2597323,11004,1594-02-07,Googe,Barnaby,,,"linguist, poet, politician, translator",linguist
Adam Lindsay Gordon,Literature,Male,1833,"Faial Island, Portugal",10,Q350313,1833-10-19,37281987,11014,1870-06-24,Gordon,Adam,L,https://commons.wikimedia.org/wiki/File:Adam_Lindsay_Gordon_-_Melbourne_monument.jpg,"poet, politician, writer, jockey",poet
lyman Heath,Literature,Male,1849,"London, England, United Kingdom",10,Q742371,1849-09-21,54239311,33481,1928-05-16,Gosse,Edmund,,https://commons.wikimedia.org/wiki/File:Edmund_Gosse_by_John_Singer_Sargent.jpg,"poet, librarian, literary critic, art historian, translator, literary historian, writer",poet
Stephen Gosson,Literature,Male,1554,"Canterbury, Kent, England",7,Q541948,1554-04-01,2815249,11120,1624-02-13,Gosson,Stephen,,,"writer, poet",writer
Richard Grafton,"Military, Politics, and Law",Male,1511,"London, England, United Kingdom",1,Q7326010,1511,42776992,11186,1572,Grafton,Richard,,"https://commons.wikimedia.org/wiki/File:A_History_of_Booksellers,_the_Old_and_the_New_-_Richard_Grafton.png",politician,politician
Ulysses S Grant,"Military, Politics, and Law",Male,1822,"Point Pleasant, Ohio, United States",9,Q34836,1822-04-27,66505625,,1885-07-23,Grant,Ulysses,S,https://commons.wikimedia.org/wiki/File:Ulysses_S._Grant_1870-1880.jpg,"explorer, military officer, writer, politician, statesperson, army officer",explorer
Anne Grant,Literature,Female,1755,"Glasgow, Scotland, United Kingdom",8,Q4768392,1755-02-21,4921428,11246,1838-11-07,Grant,Anne,,https://commons.wikimedia.org/wiki/File:Anne_Grant_of_Laggan.jpg,"poet, historian, writer",poet
Richard Graves,Literature,Male,1715,"Mickleton, Gloucestershire, Gloucestershire, United Kingdom",7,Q9069114,1715-05-04,68965769,11313,1804-11-23,Graves,Richard,,https://commons.wikimedia.org/wiki/File:Richard_Graves.jpg,"writer, Christian minister, poet, novelist",writer
Thomas Gray,Literature,Male,1716,"London, England, United Kingdom",1,Q315516,1716-12-26,9889965,11356,1771-07-30,Gray,Thomas,,https://commons.wikimedia.org/wiki/File:PortraitThomasGrayByJohnGilesEccart1747to1748.jpg,"poet, literary critic, writer",poet
Horace Greeley,Literature,Male,1811,"Amherst, New Hampshire, United States",10,Q436790,1811-02-03,24772897,,1872-11-29,Greeley,Horace,,https://commons.wikimedia.org/wiki/File:Horace_Greeley_restored.jpg,"journalist, politician, publisher, editor, businessperson, writer, editing staff, abolitionist",journalist
Matthew Green,Literature,Male,1696,"United Kingdom,",1,Q6790593,1696,66820978,11396,1737,Green,Matthew,,,"poet, writer",poet
Albert Gorton Greene,"Military, Politics, and Law",Male,1802,"Providence, Rhode Island, United States",1,Q4710338,1802-02-10,3969682,,1868-01-03,Greene,Albert,G,https://commons.wikimedia.org/wiki/File:Albert_Gorton_Greene_(1802–1868).png,"lawyer, judge, poet, writer",lawyer
Margaret Greville,Society,Female,1863,"London, England, United Kingdom",3,Q6759458,1863,,51986,1942,Greville,Mrs,,https://commons.wikimedia.org/wiki/File:Margaret_Greville_photographed_on_5_October_1900.jpg,"socialite, philanthropist, art collector",socialite
Gerald Griffin,Literature,Male,1803,"Limerick, Munster, Ireland",8,Q1509898,1803-12-12,96303,11588,1840-06-12,Griffin,Gerald,,https://commons.wikimedia.org/wiki/File:Gerald_Griffin_1.jpg,"writer, journalist, poet, novelist",writer
Walter of Châtillon,Literature,Male,1135,"Lille, Nord, France",8,Q5198,1135,1.00E+08,,1201,Gualtier,Philippe,,,"writer, theologian, poet, Goliard",writer
William Habington,Literature,Male,1605,"Worcestershire, England, United Kingdom",7,Q2713698,1605-11-04,15973341,11833,1654-11-30,Habington,William,,,"writer, poet, historian",writer
George Hakewill,Religion,Male,1578,"Barnstaple, Devon, England",7,Q5540147,1578,15111485,11885,1649-04-05,Hakewill,George,,"https://commons.wikimedia.org/wiki/File:George_Hakewill_(c_1578–1649),_by_Sylvester_Harding_(1745-1809).jpg",theologian,theologian
Edward Everett Hale,Literature,Male,1822,"Boston, Massachusetts, United States",9,Q786616,1822-04-03,40173248,,1909-06-10,Hale,Edward,E,https://commons.wikimedia.org/wiki/File:Edward_E_Hale_001.jpg,"writer, theologian, science fiction writer, novelist, Christian minister",writer
Thomas Chandler Haliburton,"Military, Politics, and Law",Male,1796,"Windsor, Nova Scotia, Canada",7,Q1346720,1796-12-17,42632835,11927,1865-08-27,Haliburton,Thomas,C,https://commons.wikimedia.org/wiki/File:ThomasChandlerHaliburtonCanada40.jpg,"writer, politician, judge, historian",writer
Joseph Hall,Literature,Male,1574,"Ashby-de-la-Zouch, Leicestershire, England",5,Q4499080,1574-07-01,61678894,11976,1656-09-08,Hall,Bishop,,https://commons.wikimedia.org/wiki/File:Joseph_Hall_(1628).jpg,"priest, writer, poet",priest
Robert Hall,Religion,Male,1764,"Arnesby, near Leicester, Leicestershire, England, United Kingdom",5,Q2157459,1764-05-02,18400617,11982,1831-02-21,Hall,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Hall_statue_detail.jpg,theologian,theologian
Fitz-Greene Halleck,Literature,Male,1790,"Guilford, New Haven County, Connecticut, United States",1,Q1421265,1790-07-08,59331019,,1867-11-19,Halleck,Fitz-Greene,,https://commons.wikimedia.org/wiki/File:Fitz-Greene_Halleck.jpg,"poet, writer",poet
James Halliwell-Phillipps,Literature,Male,1820,"London, England, United Kingdom",8,Q321691,1820-06-21,46804188,12020,1889-01-03,Halliwell,James,,"https://commons.wikimedia.org/wiki/File:Halliwell-Phillipps,_James_Orchard.jpg","literary historian, historian, writer, children's writer, collector of fairy tales, literary scholar, collector, editor",literary historian
Mary Abigail Dodge,Literature,Female,1833,"Hamilton, Massachusetts, United States",10,Q6778774,1833-03-31,25664515,,1896-08-17,Hamilton,Gail,,https://commons.wikimedia.org/wiki/File:Gail_Hamilton's_Life_and_Letters_frontispiece.jpg,"essayist, journalist, writer, opinion journalist, suffragette, feminist",essayist
Eugene Lee-Hamilton,Literature,Male,1845,"London, England, United Kingdom",10,Q5407431,1845-01-06,37139944,34471,1907-09-09,Hamilton,Eugene,L,https://commons.wikimedia.org/wiki/File:Eugene_Lee-Hamilton_001.jpg,"poet, translator",poet
James Henry Hammond,"Military, Politics, and Law",Male,1807,"Columbia, South Carolina, United States",9,Q731148,1807-11-15,22998638,,1864-11-13,Hammond,J,H,https://commons.wikimedia.org/wiki/File:JHHammond.jpg,"politician, lawyer, journalist, jurist, planter class",politician
Thomas Hardy,Literature,Male,1840,"Dorchester, Dorset, United Kingdom",10,Q132805,1840-06-02,54148778,33708,1928-01-11,Hardy,Thomas,,https://commons.wikimedia.org/wiki/File:Thomashardy_restored.jpg,"writer, novelist, screenwriter, poet",writer
Robert Hare,History and Philosophy,Male,1531,"Calgary, Alberta, Canada",7,Q15994480,1531,24516994,12306,1611,Hare,Robert,,,"antiquarian, politician",antiquarian
John Harington,Literature,Male,1560,"Kelston, United Kingdom",5,Q686895,1560-08-04,64819700,12326,1612-11-20,Harrington,Sir John,,https://commons.wikimedia.org/wiki/File:Sir_John_Harington_by_Hieronimo_Custodis.jpg,"inventor, poet, writer",inventor
Joel Chandler Harris,Literature,Male,1848,"Eatonton, Putnam County, Georgia, United States",10,Q554269,1848-12-09,17223898,,1908-07-03,Harris,Joel,C,https://commons.wikimedia.org/wiki/File:Joel_Chandler_Harris_-_Project_Gutenberg_eText_16622.jpg,"writer, children's writer, journalist, collector of fairy tales, folklorist",writer
William Henry Harrison,"Military, Politics, and Law",Male,1773,"Charles City County, Virginia, United States",7,Q11869,1773-02-09,18022085,,1841-04-04,Harrison,William,,"https://commons.wikimedia.org/wiki/File:William_Henry_Harrison_by_James_Reid_Lambdin,_1835.jpg","politician, diplomat, military officer, statesperson",politician
Bret Harte,Literature,Male,1836,"Albany, New York, United States",7,Q301983,1836-08-25,1.00E+08,38324,1902-05-05,Harte,Francis,Bret,https://commons.wikimedia.org/wiki/File:Bret_Harte_by_Napoleon_Sarony.jpg,"writer, poet, journalist, typesetter, playwright, prose writer",writer
William Harvey,Other Sciences,Male,1578,"Folkestone, Kent, England",5,Q93128,1578-04-01,29584187,12531,1657-06-03,Harvey,Stephen,,https://commons.wikimedia.org/wiki/File:William_Harvey_2.jpg,"biologist, physician, anatomist, physiologist",biologist
Robert Stephen Hawker,Literature,Male,1803,"Plymouth, Devon, England",8,Q2158892,1803-12-03,23063257,12656,1875-08-15,Hawker,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Stephen_Hawker_1864.jpg,"Anglican priest, writer, poet",Anglican priest
John Hay,"Military, Politics, and Law",Male,1838,"Salem, Scotland, United Kingdom",10,Q117101,1838-10-08,76456718,,1905-07-01,Hay,John,,"https://commons.wikimedia.org/wiki/File:John_Hay,_bw_photo_portrait,_1897.jpg","writer, diplomat, journalist, biographer, politician, secretary, historian",writer
Rutherford B. Hayes,"Military, Politics, and Law",Male,1822,"Delaware, United States",9,Q35686,1822-10-04,64803399,,1893-01-17,Hayes,Rutherford,B,https://commons.wikimedia.org/wiki/File:President_Rutherford_Hayes_1870_-_1880_Restored.jpg,"lawyer, politician, military officer, statesperson",lawyer
Edward C. Hayes,Society,Male,1868,"Lewiston, Androscoggin County, Maine, United States",7,Q1291869,1868-02-10,32360252,,1928,Hayes,Edward,S,,"sociologist, university teacher",sociologist
Paul Hamilton Hayne,Literature,Male,1830,"Charleston, South Carolina, United States",10,Q2059974,1830,3277443,,1886-07-06,Hayne,Paul,H,https://commons.wikimedia.org/wiki/File:Paul_Mailton_Hayne_-_Dichter.jpg,"writer, journalist, poet, editor, literary critic",writer
Lyman Heath,Arts,Male,1804,"New Hampshire, United States",9,Q6708037,1804-08-24,11922361,,1870-07-30,Heath,Leonard,,,singer,singer
Reginald Heber,Religion,Male,1783,"Hodnet Hall, Hodnet, Shropshire, England, United Kingdom",1,Q3271284,1783-04-21,353958,12853,1826-04-03,Heber,Reginald,,https://commons.wikimedia.org/wiki/File:Reginald_Heber.jpg,"Anglican priest, hymnwriter, poet, writer",Anglican priest
Robert Hegge,Literature,Male,1599,United Kingdom,7,Q7345375,1599,66809712,12865,1629,Hegge,Robert,,,writer,writer
Felicia Hemans,Literature,Female,1793,"Liverpool, Merseyside, England, United Kingdom",7,Q272537,1793-09-25,17397168,12888,1835-05-16,Hemans,Felicia,D,https://commons.wikimedia.org/wiki/File:Felicia_Hemans_2.jpg,"poet, writer",poet
William Ernest Henley,Literature,Male,1849,"Gloucester, Gloucestershire, United Kingdom",10,Q552617,1849-08-23,9863730,33817,1903-07-11,Henley,William,E,https://commons.wikimedia.org/wiki/File:William_Ernest_Henley_young.jpg,"writer, poet, journalist, editor, literary critic",writer
Patrick Henry,"Military, Politics, and Law",Male,1736,"Hanover County, Virginia, United States",3,Q311885,1736-05-29,73875491,61289,1799-06-06,Henry,Patrick,,https://commons.wikimedia.org/wiki/File:Patrick_henry.JPG,"politician, lawyer, writer",politician
Matthew Henry,Religion,Male,1662,"Flintshire, Wales",5,Q663216,1662-10-18,66666524,12975,1714-06-22,Henry,Matthew,,https://commons.wikimedia.org/wiki/File:MatthewHenry.jpg,"theologian, writer, Christian minister",theologian
Joseph Henshaw,Religion,Male,1608,"Ancoats, Manchester, Lancashire, England, United Kingdom",9,Q6283952,1608,,12987,1679,Henshaw,Joseph,,,priest,priest
George Herbert,Religion,Male,1593,"Montgomery, Powys, Wales, United Kingdom",1,Q317887,1593-04-03,71487054,13025,1633-03-01,Herbert,George,,https://commons.wikimedia.org/wiki/File:George_Herbert.jpg,"priest, poet, writer, politician",priest
Herodotos,History and Philosophy,Male,-484,"Halicarnassus, ancient Greek",7,Q26825,-484,1.00E+08,,-425,Herodotus,,,https://commons.wikimedia.org/wiki/File:Herodotus_Massimo_Inv124478.jpg,"historian, politician, writer, geographer",historian
Robert Herrick,Literature,Male,1591,"London, England, United Kingdom",1,Q553554,1591-08-24,2486214,13092,1674-10-01,Herrick,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Herrick_1591-1674.jpg,"poet, writer",poet
Thomas Kibble Hervey,Literature,Male,1799,"Paisley, Renfrewshire, Scotland",1,Q7791515,1799-02-04,25028752,13120,1859-02-27,Hervey,Thomas,K,,poet,poet
Hesiod,Literature,Male,-801,"Cyme, ancient Greek city",3,Q44233,-801,1.22E+08,,-701,Hesiod,,,https://commons.wikimedia.org/wiki/File:Pseudo-Seneca_BM_GR1962.8-24.1.jpg,"poet, writer, rhapsode, mythographer",poet
Abram Stevens Hewitt,"Military, Politics, and Law",Male,1822,"Haverstraw, New York, United States",10,Q2738550,1822-07-31,2839227,,1903-01-18,Hewitt,Abram,S,https://commons.wikimedia.org/wiki/File:Abram_Stevens_Hewitt_1822-1903.jpg,"politician, lawyer",politician
Thomas Heywood,Literature,Male,1574,"Lincolnshire, England, United Kingdom",5,Q2073027,1574,76355576,13190,1641-08-16,Heywood,Thomas,,https://commons.wikimedia.org/wiki/File:Ifyouknownot.gif,"playwright, writer, stage actor, actor",playwright
John Heywood,Literature,Male,1497,"London, England, United Kingdom",5,Q977389,1497,41859470,13183,1580,Heywood,John,,https://commons.wikimedia.org/wiki/File:Heywood_portrait_1556.jpg,"poet, playwright, aphorist, writer, politician",poet
Aaron Hill,Literature,Male,1685,"London, England, United Kingdom",1,Q1647198,1685-02-10,4939726,13264,1750-02-08,Hill,Aaron,,,"poet, playwright, essayist, writer",poet
Rowland Hill,Society,Male,1795,"Kidderminster, Worcestershire, England, United Kingdom",9,Q370241,1795-12-03,32793081,13299,1879-08-27,Hill,Rowland,,https://commons.wikimedia.org/wiki/File:Rowland_Hill_photo_crop.jpg,"teacher, politician, inventor",teacher
